# theta_idx, align_idx, realization, theta_value, align_value, seedpoints, density
0, 0, 0, 0.0, 1.0, [2516.17545407], 467.7406465483294
0, 0, 1, 0.0, 1.0, [2516.17545407], 485.095006411433
0, 0, 2, 0.0, 1.0, [2516.17545407], 456.52622626142755
0, 0, 3, 0.0, 1.0, [2516.17545407], 485.5481797606997
0, 0, 4, 0.0, 1.0, [2516.17545407], 454.1346453475053
0, 0, 5, 0.0, 1.0, [2516.17545407], 447.9755147637095
0, 0, 6, 0.0, 1.0, [2516.17545407], 455.3375358272214
0, 0, 7, 0.0, 1.0, [2516.17545407], 482.03374334987984
0, 0, 8, 0.0, 1.0, [2516.17545407], 476.9257990650268
0, 0, 9, 0.0, 1.0, [2516.17545407], 423.3086234418405
0, 1, 0, 0.0, 1.1111111111111112, [2434.3977587], 448.6550619609647
0, 1, 1, 0.0, 1.1111111111111112, [2434.3977587], 470.66726105298596
0, 1, 2, 0.0, 1.1111111111111112, [2434.3977587], 426.50500843243356
0, 1, 3, 0.0, 1.1111111111111112, [2434.3977587], 424.0010377015105
0, 1, 4, 0.0, 1.1111111111111112, [2434.3977587], 428.69845071314967
0, 1, 5, 0.0, 1.1111111111111112, [2434.3977587], 420.88801750285745
0, 1, 6, 0.0, 1.1111111111111112, [2434.3977587], 449.53293845800033
0, 1, 7, 0.0, 1.1111111111111112, [2434.3977587], 442.6663334619971
0, 1, 8, 0.0, 1.1111111111111112, [2434.3977587], 455.626194216643
0, 1, 9, 0.0, 1.1111111111111112, [2434.3977587], 437.2301954288249
0, 2, 0, 0.0, 1.2222222222222223, [2352.78256872], 419.91068004101237
0, 2, 1, 0.0, 1.2222222222222223, [2352.78256872], 427.64530802925685
0, 2, 2, 0.0, 1.2222222222222223, [2352.78256872], 467.26958597836494
0, 2, 3, 0.0, 1.2222222222222223, [2352.78256872], 464.01885540472483
0, 2, 4, 0.0, 1.2222222222222223, [2352.78256872], 430.97720728487724
0, 2, 5, 0.0, 1.2222222222222223, [2352.78256872], 433.3156177720974
0, 2, 6, 0.0, 1.2222222222222223, [2352.78256872], 426.53229723785125
0, 2, 7, 0.0, 1.2222222222222223, [2352.78256872], 441.3934795475291
0, 2, 8, 0.0, 1.2222222222222223, [2352.78256872], 438.4144948515421
0, 2, 9, 0.0, 1.2222222222222223, [2352.78256872], 462.80356280726056
0, 3, 0, 0.0, 1.3333333333333333, [2271.29203232], 433.705530471998
0, 3, 1, 0.0, 1.3333333333333333, [2271.29203232], 439.78465399172916
0, 3, 2, 0.0, 1.3333333333333333, [2271.29203232], 462.5704914674558
0, 3, 3, 0.0, 1.3333333333333333, [2271.29203232], 446.8081432160342
0, 3, 4, 0.0, 1.3333333333333333, [2271.29203232], 477.0811548524808
0, 3, 5, 0.0, 1.3333333333333333, [2271.29203232], 448.0570309784343
0, 3, 6, 0.0, 1.3333333333333333, [2271.29203232], 439.0015884604963
0, 3, 7, 0.0, 1.3333333333333333, [2271.29203232], 427.27148762312066
0, 3, 8, 0.0, 1.3333333333333333, [2271.29203232], 445.14097629451464
0, 3, 9, 0.0, 1.3333333333333333, [2271.29203232], 455.6730206188898
0, 4, 0, 0.0, 1.4444444444444444, [2189.89922569], 477.5813860762404
0, 4, 1, 0.0, 1.4444444444444444, [2189.89922569], 431.14002886613156
